,favorite_count,tweet_id,retweet_count,text,timestamp,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
0,132,666029285002620928,47,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,2015-11-15 23:05:30 +0000,7,10,a,None,None,None,None,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,Redbone,0.506826,True,Miniature_Pinscher,0.07419169999999999,True,Rhodesian_Ridgeback,0.07201,True
1,308,666044226329800704,144,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,2015-11-16 00:04:52 +0000,6,10,a,None,None,None,None,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,Rhodesian_Ridgeback,0.408143,True,Redbone,0.360687,True,Miniature_Pinscher,0.222752,True
2,1248,666051853826850816,874,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,2015-11-16 00:35:11 +0000,2,10,an,None,None,None,None,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,Box_Turtle,0.933012,False,Mud_Turtle,0.045885400000000014,False,Terrapin,0.017885299999999996,False
3,304,666057090499244032,145,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,2015-11-16 00:55:59 +0000,9,10,a,None,None,None,None,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,Shopping_Cart,0.962465,False,Shopping_Basket,0.0145938,False,Golden_Retriever,0.00795896,True
4,117,666058600524156928,60,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,2015-11-16 01:01:59 +0000,8,10,the,None,None,None,None,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,Miniature_Poodle,0.201493,True,Komondor,0.192305,True,Soft-Coated_Wheaten_Terrier,0.08208610000000001,True
5,154,666071193221509120,65,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,2015-11-16 01:52:02 +0000,9,10,None,None,None,None,None,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,Gordon_Setter,0.503672,True,Yorkshire_Terrier,0.174201,True,Pekinese,0.109454,True
6,333,666073100786774016,172,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,2015-11-16 01:59:36 +0000,10,10,None,None,None,None,None,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1,Walker_Hound,0.260857,True,English_Foxhound,0.17538199999999998,True,Ibizan_Hound,0.0974705,True
7,161,666099513787052032,72,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,2015-11-16 03:44:34 +0000,8,10,None,None,None,None,None,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1,Lhasa,0.58233,True,Shih-Tzu,0.166192,True,Dandie_Dinmont,0.0896883,True
8,81,666102155909144576,14,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq,2015-11-16 03:55:04 +0000,11,10,None,None,None,None,None,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1,English_Setter,0.298617,True,Newfoundland,0.149842,True,Borzoi,0.133649,True
9,14656,666104133288665088,6808,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,2015-11-16 04:02:55 +0000,1,10,None,None,None,None,None,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,1,Hen,0.965932,False,Cock,0.0339194,False,Partridge,5.20658e-05,False
10,108,666268910803644416,36,Very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxApIikpk,2015-11-16 14:57:41 +0000,10,10,None,None,None,None,None,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,1,Desktop_Computer,0.086502,False,Desk,0.0855474,False,Bookcase,0.0794797,False
11,182,666273097616637952,80,Can take selfies 11/10 https://t.co/ws2AMaNwPW,2015-11-16 15:14:19 +0000,11,10,None,None,None,None,None,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,1,Italian_Greyhound,0.176053,True,Toy_Terrier,0.111884,True,Basenji,0.111152,True
12,152,666287406224695296,70,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv,2015-11-16 16:11:11 +0000,1,2,an,None,None,None,None,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,1,Maltese_Dog,0.8575309999999999,True,Toy_Poodle,0.0630638,True,Miniature_Poodle,0.0255806,True
13,515,666293911632134144,365,This is a funny dog. Weird toes. Won't come down. Loves branch. Refuses to eat his food. Hard to cuddle with. 3/10 https://t.co/IIXis0zta0,2015-11-16 16:37:02 +0000,3,10,a,None,None,None,None,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,1,Three-Toed_Sloth,0.914671,False,Otter,0.01525,False,Great_Grey_Owl,0.0132072,False
14,203,666337882303524864,95,This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively https://t.co/QpRjllzWAL,2015-11-16 19:31:45 +0000,9,10,an,None,None,None,None,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,1,Ox,0.416669,False,Newfoundland,0.278407,True,Groenendael,0.102643,True
